"","dbn","location_category_description","longitude","latitude","school_name","total_enrollment","n_female","p_female","n_male","p_male","n_asian","p_asian","n_black","p_black","n_hispanic","p_hispanic","n_multi_racial","p_multi_racial","n_native_american","p_native_american","n_white","p_white","n_missing_race_ethnicity_data","p_missing_race_ethnicity_data","n_students_with_disabilities","p_students_with_disabilities","n_english_language_learners","p_english_language_learners","n_poverty","p_poverty","economic_need_index","row_id"
"1610","12X242","Secondary School",-73.878191,40.832508,"Mott Hall V",662,336,50.8,326,49.2,26,3.9,109,16.5,520,78.5,1,0.2,4,0.6,2,0.3,0,0,195,29.5,85,12.8,"597",90.2,90.8,1610
"1611","10X243","Secondary School",-73.888625,40.859466,"West Bronx Academy for the Future",614,290,47.2,324,52.8,12,2,103,16.8,487,79.3,2,0.3,2,0.3,8,1.3,0,0,165,26.9,86,14,"577",94,93.6,1611
"1612","10X244","Junior High-Intermediate-Middle",-73.901565,40.875636,"The New School for Leadership and Journalism",718,339,47.2,379,52.8,17,2.4,62,8.6,625,87,3,0.4,2,0.3,9,1.3,0,0,162,22.6,154,21.4,"Above 95%",95,90.5,1612
"1613","10X246","Elementary",-73.8953,40.865972,"P.S. 246 Poe Center",630,289,45.9,341,54.1,17,2.7,49,7.8,541,85.9,2,0.3,1,0.2,20,3.2,0,0,142,22.5,248,39.4,"Above 95%",95,95,1613
"1614","12X248","High school",-73.896925,40.827539,"Metropolitan High School, The",273,129,47.3,144,52.7,0,0,62,22.7,204,74.7,0,0,2,0.7,4,1.5,1,0.4,84,30.8,71,26,"Above 95%",95,95,1614
"1615","11X249","High school",-73.831669,40.874035,"Bronx Health Sciences High School",287,167,58.2,120,41.8,24,8.4,156,54.4,89,31,0,0,8,2.8,10,3.5,0,0,29,10.1,12,4.2,"230",80.1,71.6,1615
"1616","09X250","High school",-73.902794,40.833884,"Eximius College Preparatory Academy: A College Boa",393,214,54.5,179,45.5,6,1.5,128,32.6,246,62.6,0,0,9,2.3,1,0.3,3,0.8,96,24.4,30,7.6,"337",85.8,88.9,1616
"1617","09X250","High school",-73.902794,40.833884,"Eximius College Preparatory Academy: A College Boa",393,214,54.5,179,45.5,6,1.5,128,32.6,246,62.6,0,0,9,2.3,1,0.3,3,0.8,96,24.4,30,7.6,"337",85.8,88.9,1617
"1618","12X251","High school",-73.890591,40.836245,"Explorations Academy H.S.",314,126,40.1,188,59.9,5,1.6,83,26.4,219,69.7,0,0,4,1.3,3,1,0,0,82,26.1,72,22.9,"279",88.9,93.3,1618
"1619","09X252","High school",-73.901774,40.839508,"Mott Hall Bronx High School",356,188,52.8,168,47.2,1,0.3,88,24.7,261,73.3,0,0,1,0.3,3,0.8,2,0.6,88,24.7,33,9.3,"334",93.8,93.3,1619
"1620","11X253","High school",-73.861649,40.875172,"Bronx High School for Writing and Communication Ar",301,149,49.5,152,50.5,14,4.7,131,43.5,140,46.5,0,0,2,0.7,11,3.7,3,1,68,22.6,46,15.3,"242",80.4,86,1620
"1621","10X254","Junior High-Intermediate-Middle",-73.889878,40.858721,"I.S. 254",468,240,51.3,228,48.7,11,2.4,67,14.3,386,82.5,0,0,2,0.4,2,0.4,0,0,136,29.1,163,34.8,"421",90,93.7,1621
"1622","84X255","K-8",-73.858533,40.834025,"Bronx Charter School for Excellence",809,425,52.5,384,47.5,249,30.8,292,36.1,262,32.4,0,0,1,0.1,5,0.6,0,0,89,11,52,6.4,"640",79.1,70.1,1622
