"","dbn","location_category_description","longitude","latitude","school_name","total_enrollment","n_female","p_female","n_male","p_male","n_asian","p_asian","n_black","p_black","n_hispanic","p_hispanic","n_multi_racial","p_multi_racial","n_native_american","p_native_american","n_white","p_white","n_missing_race_ethnicity_data","p_missing_race_ethnicity_data","n_students_with_disabilities","p_students_with_disabilities","n_english_language_learners","p_english_language_learners","n_poverty","p_poverty","economic_need_index","row_id"
"1","15K001","Elementary",-74.01142,40.648959,"P.S. 001 The Bergen",1087,559,51.4,528,48.6,83,7.6,13,1.2,957,88,1,0.1,1,0.1,32,2.9,0,0,198,18.2,422,38.8,"933",85.8,89.1,1
"2","17K002","Junior High-Intermediate-Middle",-73.951575,40.656423,"Parkside Preparatory Academy",431,220,51,211,49,18,4.2,319,74,65,15.1,2,0.5,11,2.6,16,3.7,0,0,94,21.8,65,15.1,"370",85.8,82.5,2
"3","13K003","Elementary",-73.955219,40.682311,"P.S. 003 The Bedford Village",302,137,45.4,165,54.6,32,10.6,217,71.9,29,9.6,13,4.3,2,0.7,9,3,0,0,61,20.2,21,7,"270",89.4,88,3
"4","75K004","Elementary",-73.879276,40.6585,"P.S. K004",323,73,22.6,250,77.4,24,7.4,179,55.4,94,29.1,0,0,7,2.2,19,5.9,0,0,322,99.7,77,23.8,"280",86.7,89.4,4
"5","16K005","Elementary",-73.92197,40.685241,"P.S. 005 Dr. Ronald McNair",248,124,50,124,50,5,2,182,73.4,42,16.9,1,0.4,1,0.4,17,6.9,0,0,70,28.2,13,5.2,"200",80.6,82.2,5
"6","17K006","Elementary",-73.956279,40.648973,"Norma Adams Clemons Academy",641,317,49.5,324,50.5,7,1.1,459,71.6,139,21.7,1,0.2,8,1.2,27,4.2,0,0,139,21.7,121,18.9,"535",83.5,87.1,6
"7","19K007","Elementary",-73.872983,40.689213,"P.S. 007 Abraham Lincoln",784,406,51.8,378,48.2,40,5.1,57,7.3,657,83.8,0,0,13,1.7,17,2.2,0,0,149,19,164,20.9,"736",93.9,86.8,7
"8","13K008","K-8",-73.992841,40.700709,"P.S. 008 Robert Fulton",688,325,47.2,363,52.8,45,6.5,27,3.9,77,11.2,63,9.2,3,0.4,473,68.8,0,0,64,9.3,15,2.2,"73",10.6,9.7,8
"9","13K009","Elementary",-73.966333,40.678554,"Public School 9 The Sarah Smith Garnet School",937,477,50.9,460,49.1,88,9.4,370,39.5,155,16.5,21,2.2,8,0.9,295,31.5,0,0,153,16.3,19,2,"359",38.3,38.9,9
"10","15K010","Elementary",-73.985946,40.660912,"Magnet School of Math, Science and Design Technolo",956,469,49.1,487,50.9,94,9.8,76,7.9,246,25.7,51,5.3,4,0.4,485,50.7,0,0,199,20.8,46,4.8,"211",22.1,30,10
"11","13K011","Elementary",-73.96589,40.685896,"P.S. 011 Purvis J. Behan",949,470,49.5,479,50.5,22,2.3,553,58.3,135,14.2,88,9.3,9,0.9,142,15,0,0,93,9.8,18,1.9,"345",36.4,42.4,11
"12","17K012","Elementary",-73.920095,40.673124,"Dr. Jacqueline Peek-Davis School",240,124,51.7,116,48.3,3,1.3,180,75,49,20.4,1,0.4,1,0.4,6,2.5,0,0,57,23.7,14,5.8,"227",94.6,92.5,12
"13","19K013","Elementary",-73.893328,40.664067,"P.S. 013 Roberto Clemente",417,189,45.3,228,54.7,16,3.8,278,66.7,101,24.2,0,0,8,1.9,14,3.4,0,0,101,24.2,37,8.9,"389",93.3,92.1,13
"14","22K014","Junior High-Intermediate-Middle",-73.938107,40.593232,"J.H.S. 014 Shell Bank",533,229,43,304,57,89,16.7,184,34.5,90,16.9,4,0.8,7,1.3,159,29.8,0,0,118,22.1,121,22.7,"476",89.3,85.7,14
"15","15K015","Elementary",-74.011864,40.677085,"P.S. 015 Patrick F. Daly",473,233,49.3,240,50.7,10,2.1,144,30.4,210,44.4,23,4.9,0,0,86,18.2,0,0,172,36.4,19,4,"343",72.5,76.9,15
"16","14K016","Elementary",-73.962049,40.706069,"P.S. 016 Leonard Dunkly",193,82,42.5,111,57.5,1,0.5,65,33.7,120,62.2,1,0.5,3,1.6,3,1.6,0,0,60,31.1,11,5.7,"178",92.2,95,16
"17","14K017","Elementary",-73.9573,40.715268,"P.S. 017 Henry D. Woodworth",300,149,49.7,151,50.3,1,0.3,20,6.7,234,78,2,0.7,0,0,43,14.3,0,0,94,31.3,49,16.3,"213",71,75,17
"18","14K018","Elementary",-73.946695,40.71088,"P.S. 018 Edward Bush",184,79,42.9,105,57.1,1,0.5,43,23.4,122,66.3,0,0,0,0,18,9.8,0,0,75,40.8,26,14.1,"153",83.2,84.6,18
"19","13K020","Elementary",-73.970896,40.690742,"P.S. 020 Clinton Hill",539,291,54,248,46,15,2.8,219,40.6,104,19.3,39,7.2,1,0.2,161,29.9,0,0,85,15.8,26,4.8,"291",54,49.6,19
"20","16K021","Elementary",-73.926673,40.68035,"P.S. 021 Crispus Attucks",563,297,52.8,266,47.2,5,0.9,479,85.1,63,11.2,2,0.4,1,0.2,13,2.3,0,0,124,22,11,2,"420",74.6,80.6,20
"21","14K023","Elementary",-73.947256,40.69447,"P.S. 023 Carter G. Woodson",272,125,46,147,54,2,0.7,141,51.8,118,43.4,3,1.1,2,0.7,6,2.2,0,0,95,34.9,23,8.5,"253",93,94.4,21
"22","15K024","Elementary",-74.004533,40.652832,"P.S. 024",590,289,49,301,51,26,4.4,6,1,521,88.3,0,0,5,0.8,32,5.4,0,0,132,22.4,261,44.2,"560",94.9,88.7,22
"23","16K025","Elementary",-73.940749,40.691472,"P.S. 025 Eubie Blake School",74,32,43.2,42,56.8,3,4.1,38,51.4,23,31.1,2,2.7,2,2.7,6,8.1,0,0,11,14.9,14,18.9,"69",93.2,94.6,23
"24","16K026","Elementary",-73.9317,40.6921,"P.S. 026 Jesse Owens",233,101,43.3,132,56.7,8,3.4,148,63.5,54,23.2,2,0.9,1,0.4,20,8.6,0,0,56,24,9,3.9,"164",70.4,78.1,24
"25","16K026","Elementary",-73.9317,40.6921,"P.S. 026 Jesse Owens",233,101,43.3,132,56.7,8,3.4,148,63.5,54,23.2,2,0.9,1,0.4,20,8.6,0,0,56,24,9,3.9,"164",70.4,78.1,25
"26","15K029","Elementary",-73.997447,40.686843,"P.S. 029 John M. Harrigan",931,457,49.1,474,50.9,44,4.7,21,2.3,99,10.6,71,7.6,2,0.2,694,74.5,0,0,145,15.6,25,2.7,"127",13.6,12.3,26
"27","20K030","K-8",-74.02395,40.633598,"P.S./I.S. 30 Mary White Ovington",974,467,47.9,507,52.1,214,22,8,0.8,329,33.8,10,1,3,0.3,406,41.7,4,0.4,204,20.9,186,19.1,"790",81.1,78.5,27
"28","14K031","Elementary",-73.954139,40.72697,"P.S. 031 Samuel F. Dupont",619,296,47.8,323,52.2,45,7.3,40,6.5,253,40.9,11,1.8,4,0.6,266,43,0,0,85,13.7,42,6.8,"418",67.5,63.8,28
"29","15K032","Elementary",-73.991141,40.680159,"P.S. 032 Samuel Mills Sprole",446,204,45.7,242,54.3,42,9.4,82,18.4,113,25.3,23,5.2,3,0.7,183,41,0,0,139,31.2,16,3.6,"194",43.5,44.8,29
"30","14K034","Elementary",-73.949756,40.726378,"P.S. 034 Oliver H. Perry",479,226,47.2,253,52.8,14,2.9,19,4,94,19.6,14,2.9,1,0.2,337,70.4,0,0,68,14.2,55,11.5,"141",29.4,36.9,30
"31","16K035","Junior High-Intermediate-Middle",-73.935891,40.681528,"M.S. 035 Stephen Decatur",199,94,47.2,105,52.8,2,1,162,81.4,31,15.6,0,0,0,0,4,2,0,0,63,31.7,6,3,"178",89.4,86.9,31
"32","75K036","K-12 all grades",-73.887195,40.660465,"P.S. 36",388,83,21.4,305,78.6,26,6.7,242,62.4,104,26.8,0,0,5,1.3,11,2.8,0,0,386,99.5,33,8.5,"355",91.5,92.9,32
"33","84K037","K-8",-73.953304,40.703996,"Beginning with Children Charter School II",451,242,53.7,209,46.3,4,0.9,79,17.5,349,77.4,2,0.4,3,0.7,14,3.1,0,0,91,20.2,58,12.9,"420",93.1,85.9,33
"34","15K038","Elementary",-73.982826,40.684945,"P.S. 038 The Pacific",590,279,47.3,311,52.7,103,17.5,166,28.1,114,19.3,44,7.5,1,0.2,162,27.5,0,0,74,12.5,18,3.1,"270",45.8,49.4,34
"35","15K039","Elementary",-73.982909,40.668644,"P.S. 039 Henry Bristow",417,220,52.8,197,47.2,30,7.2,14,3.4,35,8.4,9,2.2,2,0.5,327,78.4,0,0,55,13.2,7,1.7,"56",13.4,17.2,35
"36","16K040","Elementary",-73.921099,40.680239,"P.S. 040 George W. Carver",396,188,47.5,208,52.5,18,4.5,271,68.4,81,20.5,10,2.5,8,2,8,2,0,0,71,17.9,39,9.8,"342",86.4,90.5,36
"37","23K041","K-8",-73.906925,40.660455,"P.S. 041 Francis White",332,146,44,186,56,2,0.6,197,59.3,104,31.3,12,3.6,10,3,7,2.1,0,0,105,31.6,19,5.7,"Above 95%",95,95,37
"38","23K041","K-8",-73.906925,40.660455,"P.S. 041 Francis White",332,146,44,186,56,2,0.6,197,59.3,104,31.3,12,3.6,10,3,7,2.1,0,0,105,31.6,19,5.7,"Above 95%",95,95,38
"39","13K044","Elementary",-73.940859,40.686213,"P.S. 044 Marcus Garvey",124,63,50.8,61,49.2,0,0,107,86.3,11,8.9,0,0,2,1.6,4,3.2,0,0,29,23.4,6,4.8,"117",94.4,93.9,39
"40","32K045","K-8",-73.91043,40.686424,"P.S./I.S. 045 Horace E. Greene",593,319,53.8,274,46.2,18,3,253,42.7,299,50.4,1,0.2,4,0.7,18,3,0,0,129,21.8,90,15.2,"508",85.7,87.7,40
"41","13K046","Elementary",-73.971644,40.69453,"P.S. 046 Edward C. Blum",251,121,48.2,130,51.8,4,1.6,116,46.2,110,43.8,11,4.4,0,0,10,4,0,0,71,28.3,33,13.1,"212",84.5,82.3,41
"42","20K048","Elementary",-73.987165,40.621481,"P.S. 048 Mapleton",569,287,50.4,282,49.6,230,40.4,5,0.9,182,32,4,0.7,5,0.9,143,25.1,0,0,130,22.8,157,27.6,"433",76.1,80.8,42
"43","14K050","Junior High-Intermediate-Middle",-73.960137,40.711915,"J.H.S. 050 John D. Wells",326,146,44.8,180,55.2,5,1.5,74,22.7,237,72.7,0,0,5,1.5,4,1.2,1,0.3,102,31.3,44,13.5,"303",92.9,88.2,43
"44","15K051","Junior High-Intermediate-Middle",-73.98505,40.672358,"M.S. 51 William Alexander",1150,623,54.2,527,45.8,235,20.4,91,7.9,301,26.2,42,3.7,5,0.4,473,41.1,3,0.3,236,20.5,47,4.1,"506",44,44.1,44
"45","22K052","Elementary",-73.940135,40.588372,"P.S. 052 Sheepshead Bay",803,390,48.6,413,51.4,135,16.8,104,13,116,14.4,9,1.1,3,0.4,436,54.3,0,0,116,14.4,204,25.4,"616",76.7,72.8,45
"46","75K053","K-12 all grades",-73.988743,40.660805,"P.S. K053",450,115,25.6,335,74.4,49,10.9,162,36,175,38.9,19,4.2,6,1.3,39,8.7,0,0,450,100,127,28.2,"415",92.2,93.3,46
"47","13K054","Elementary",-73.952504,40.692616,"P.S. 054 Samuel C. Barnes",202,97,48,105,52,14,6.9,105,52,63,31.2,5,2.5,1,0.5,14,6.9,0,0,39,19.3,13,6.4,"173",85.6,82.6,47
"48","13K056","Elementary",-73.960536,40.684286,"P.S. 056 Lewis H. Latimer",280,118,42.1,162,57.9,6,2.1,134,47.9,45,16.1,12,4.3,1,0.4,82,29.3,0,0,65,23.2,17,6.1,"154",55,56.2,48
"49","16K057","Junior High-Intermediate-Middle",-73.932254,40.691467,"Whitelaw Reid Academy of Arts and Business",119,65,54.6,54,45.4,2,1.7,78,65.5,30,25.2,0,0,4,3.4,5,4.2,0,0,40,33.6,11,9.2,"110",92.4,91.9,49
"50","15K058","Elementary",-73.995486,40.680379,"P.S. 058 The Carroll",1002,482,48.1,520,51.9,43,4.3,22,2.2,109,10.9,91,9.1,1,0.1,736,73.5,0,0,143,14.3,48,4.8,"118",11.8,13.5,50
"51","14K059","Elementary",-73.943279,40.697619,"P.S. 059 William Floyd",325,158,48.6,167,51.4,3,0.9,170,52.3,143,44,0,0,3,0.9,6,1.8,0,0,103,31.7,32,9.8,"288",88.6,93.2,51
"52","17K061","Junior High-Intermediate-Middle",-73.949198,40.663605,"M.S. 061 Dr. Gladstone H. Atwell",559,285,51,274,49,13,2.3,467,83.5,59,10.6,3,0.5,7,1.3,10,1.8,0,0,114,20.4,23,4.1,"426",76.2,80.3,52
"53","20K062","Junior High-Intermediate-Middle",-73.971153,40.638087,"J.H.S. 062 Ditmas",1173,552,47.1,621,52.9,425,36.2,188,16,394,33.6,8,0.7,6,0.5,152,13,0,0,213,18.2,252,21.5,"1,024",87.3,85.4,53
"54","19K065","Elementary",-73.878353,40.686534,"P.S. 065",556,268,48.2,288,51.8,20,3.6,51,9.2,466,83.8,1,0.2,11,2,7,1.3,0,0,66,11.9,124,22.3,"470",84.5,86.1,54
"55","18K066","K-8",-73.907064,40.648749,"P.S. 66",760,381,50.1,379,49.9,11,1.4,633,83.3,76,10,6,0.8,8,1.1,26,3.4,0,0,111,14.6,32,4.2,"556",73.2,66.9,55
"56","13K067","Elementary",-73.977674,40.695339,"P.S. 067 Charles A. Dorsey",222,103,46.4,119,53.6,7,3.2,132,59.5,73,32.9,3,1.4,1,0.5,6,2.7,0,0,73,32.9,21,9.5,"Above 95%",95,95,56
"57","18K068","Junior High-Intermediate-Middle",-73.911215,40.635388,"I.S. 068 Isaac Bildersee",239,86,36,153,64,16,6.7,168,70.3,22,9.2,1,0.4,0,0,32,13.4,0,0,71,29.7,59,24.7,"205",85.8,81.7,57
"58","20K069","Elementary",-74.009752,40.632392,"P.S. 69 Vincent D. Grippo School",772,371,48.1,401,51.9,695,90,5,0.6,36,4.7,1,0.1,0,0,35,4.5,0,0,102,13.2,340,44,"Above 95%",95,90.9,58
"59","20K069","Elementary",-74.009752,40.632392,"P.S. 69 Vincent D. Grippo School",772,371,48.1,401,51.9,695,90,5,0.6,36,4.7,1,0.1,0,0,35,4.5,0,0,102,13.2,340,44,"Above 95%",95,90.9,59
"60","14K071","Secondary School",-73.953304,40.703996,"Juan Morel Campos Secondary School",482,225,46.7,257,53.3,3,0.6,104,21.6,343,71.2,0,0,1,0.2,29,6,2,0.4,156,32.4,121,25.1,"417",86.5,93.8,60
"61","32K075","Elementary",-73.921336,40.693261,"P.S. 075 Mayda Cortiella",282,127,45,155,55,5,1.8,52,18.4,216,76.6,0,0,0,0,9,3.2,0,0,66,23.4,59,20.9,"248",87.9,91.2,61
"62","75K077","K-12 all grades",-73.976648,40.678809,"P.S. K077",313,55,17.6,258,82.4,56,17.9,118,37.7,74,23.6,0,0,0,0,65,20.8,0,0,313,100,86,27.5,"265",84.7,88,62
"63","22K078","Junior High-Intermediate-Middle",-73.912914,40.620537,"J.H.S. 078 Roy H. Mann",548,251,45.8,297,54.2,33,6,344,62.8,76,13.9,8,1.5,5,0.9,82,15,0,0,148,27,28,5.1,"380",69.3,67.4,63
"64","16K081","Elementary",-73.935123,40.692866,"P.S. 081 Thaddeus Stevens",293,144,49.1,149,50.9,11,3.8,162,55.3,94,32.1,3,1,3,1,20,6.8,0,0,87,29.7,24,8.2,"275",93.9,93.9,64
"65","14K084","K-8",-73.963808,40.715089,"P.S. 084 Jose De Diego",729,358,49.1,371,50.9,22,3,43,5.9,454,62.3,42,5.8,1,0.1,167,22.9,0,0,147,20.2,87,11.9,"397",54.5,58.3,65
"66","32K086","Elementary",-73.917804,40.700595,"P.S. 086 The Irvington",419,211,50.4,208,49.6,6,1.4,3,0.7,401,95.7,0,0,2,0.5,7,1.7,0,0,91,21.7,148,35.3,"397",94.7,90.7,66
"67","15K088","Junior High-Intermediate-Middle",-73.988743,40.660805,"J.H.S. 088 Peter Rouget",1418,658,46.4,760,53.6,287,20.2,186,13.1,712,50.2,22,1.6,6,0.4,201,14.2,4,0.3,332,23.4,169,11.9,"1,030",72.6,74.2,67
"68","19K089","K-8",-73.886712,40.677707,"P.S. 089 Cypress Hills",490,247,50.4,243,49.6,2,0.4,13,2.7,473,96.5,1,0.2,1,0.2,0,0,0,0,116,23.7,200,40.8,"462",94.3,87.7,68
"69","21K090","Elementary",-73.980387,40.578192,"P.S. 90 Edna Cohen School",590,291,49.3,299,50.7,74,12.5,119,20.2,313,53.1,7,1.2,7,1.2,70,11.9,0,0,95,16.1,121,20.5,"500",84.7,90.1,69
"70","17K091","Elementary",-73.940707,40.661806,"P.S. 091 The Albany Avenue School",225,118,52.4,107,47.6,2,0.9,186,82.7,30,13.3,1,0.4,3,1.3,3,1.3,0,0,61,27.1,17,7.6,"201",89.3,82.5,70
"71","17K092","Elementary",-73.95381,40.656276,"P.S. 092 Adrian Hegeman",344,159,46.2,185,53.8,35,10.2,221,64.2,57,16.6,0,0,12,3.5,19,5.5,0,0,72,20.9,75,21.8,"317",92.2,87,71
"72","13K093","Elementary",-73.946381,40.679079,"P.S. 093 William H. Prescott",185,85,45.9,100,54.1,44,23.8,117,63.2,17,9.2,2,1.1,2,1.1,3,1.6,0,0,51,27.6,21,11.4,"Above 95%",95,92.8,72
"73","15K094","Elementary",-74.008795,40.64373,"P.S. 094 The Henry Longfellow",1216,573,47.1,643,52.9,850,69.9,4,0.3,342,28.1,1,0.1,4,0.3,15,1.2,0,0,124,10.2,598,49.2,"Above 95%",95,95,73
"74","21K095","K-8",-73.974664,40.595996,"P.S. 095 The Gravesend",992,485,48.9,507,51.1,366,36.9,66,6.7,331,33.4,6,0.6,6,0.6,217,21.9,0,0,173,17.4,117,11.8,"730",73.6,78.7,74
"75","21K096","Junior High-Intermediate-Middle",-73.984985,40.608135,"I.S. 096 Seth Low",835,398,47.7,437,52.3,254,30.4,64,7.7,248,29.7,7,0.8,3,0.4,259,31,0,0,160,19.2,221,26.5,"644",77.1,80.4,75
"76","21K097","Elementary",-73.98557,40.601191,"P.S. 97 The Highlawn",746,353,47.3,393,52.7,377,50.5,11,1.5,161,21.6,5,0.7,3,0.4,189,25.3,0,0,125,16.8,221,29.6,"514",68.9,72.9,76
"77","21K098","Junior High-Intermediate-Middle",-73.954047,40.583893,"I.S. 98 Bay Academy",1601,848,53,753,47,467,29.2,40,2.5,142,8.9,6,0.4,8,0.5,887,55.4,51,3.2,159,9.9,15,0.9,"858",53.6,52.9,77
"78","21K099","K-8",-73.966031,40.621474,"P.S. 099 Isaac Asimov",890,442,49.7,448,50.3,386,43.4,59,6.6,146,16.4,3,0.3,4,0.4,292,32.8,0,0,120,13.5,225,25.3,"680",76.4,82.1,78
"79","21K100","Elementary",-73.97083,40.577591,"P.S. 100 The Coney Island School",832,409,49.2,423,50.8,28,3.4,22,2.6,52,6.3,9,1.1,2,0.2,719,86.4,0,0,139,16.7,185,22.2,"442",53.1,49.7,79
"80","21K101","Elementary",-73.991962,40.597379,"P.S. 101 The Verrazano",927,429,46.3,498,53.7,489,52.8,11,1.2,138,14.9,9,1,4,0.4,276,29.8,0,0,224,24.2,220,23.7,"624",67.3,69.8,80
"81","20K102","Elementary",-74.028758,40.634318,"P.S. 102 The Bayview",1405,672,47.8,733,52.2,241,17.2,24,1.7,397,28.3,38,2.7,9,0.6,695,49.5,1,0.1,293,20.9,186,13.2,"872",62.1,61.7,81
"82","20K104","K-8",-74.028492,40.618077,"P.S./I.S. 104 The Fort Hamilton School",1222,571,46.7,651,53.3,244,20,49,4,320,26.2,37,3,4,0.3,568,46.5,0,0,189,15.5,139,11.4,"740",60.6,56.7,82
"83","20K105","Elementary",-74.003635,40.63332,"P.S. 105 The Blythebourne",1382,642,46.5,740,53.5,1277,92.4,3,0.2,63,4.6,0,0,1,0.1,38,2.7,0,0,125,9,573,41.5,"1,238",89.6,92.9,83
"84","32K106","Elementary",-73.913378,40.693318,"P.S. 106 Edward Everett Hale",397,177,44.6,220,55.4,4,1,38,9.6,349,87.9,2,0.5,1,0.3,3,0.8,0,0,110,27.7,126,31.7,"362",91.2,85,84
"85","15K107","Elementary",-73.981181,40.662945,"P.S. 107 John W. Kimball",567,294,51.9,273,48.1,53,9.3,17,3,64,11.3,21,3.7,1,0.2,411,72.5,0,0,93,16.4,12,2.1,"57",10.1,10.1,85
"86","19K108","Elementary",-73.884348,40.681295,"P.S. 108 Sal Abbracciamento",901,438,48.6,463,51.4,43,4.8,75,8.3,745,82.7,7,0.8,18,2,13,1.4,0,0,221,24.5,88,9.8,"773",85.8,87.8,86
"87","22K109","K-8",-73.933099,40.635842,"P.S. 109",516,238,46.1,278,53.9,14,2.7,391,75.8,87,16.9,6,1.2,7,1.4,11,2.1,0,0,142,27.5,47,9.1,"442",85.7,77.5,87
"88","22K109","K-8",-73.933099,40.635842,"P.S. 109",516,238,46.1,278,53.9,14,2.7,391,75.8,87,16.9,6,1.2,7,1.4,11,2.1,0,0,142,27.5,47,9.1,"442",85.7,77.5,88
"89","14K110","Elementary",-73.941926,40.723743,"P.S. 110 The Monitor",594,294,49.5,300,50.5,36,6.1,9,1.5,102,17.2,28,4.7,1,0.2,418,70.4,0,0,46,7.7,43,7.2,"154",25.9,31.1,89
"90","20K112","Elementary",-74.000565,40.619417,"P.S. 112 Lefferts Park",727,326,44.8,401,55.2,270,37.1,7,1,264,36.3,2,0.3,0,0,184,25.3,0,0,132,18.2,149,20.5,"501",68.9,73.4,90
"91","13K113","Junior High-Intermediate-Middle",-73.971474,40.688769,"M.S. 113 Ronald Edmonds Learning Center",333,166,49.8,167,50.2,20,6,218,65.5,81,24.3,5,1.5,2,0.6,7,2.1,0,0,99,29.7,12,3.6,"299",89.8,90.4,91
"92","18K114","Elementary",-73.90788,40.642684,"P.S. 114 Ryder Elementary",484,253,52.3,231,47.7,16,3.3,386,79.8,58,12,3,0.6,2,0.4,19,3.9,0,0,104,21.5,60,12.4,"384",79.3,82.4,92
"93","18K115","Elementary",-73.897896,40.634861,"P.S. 115 Daniel Mucatel School",861,429,49.8,432,50.2,23,2.7,706,82,57,6.6,8,0.9,6,0.7,61,7.1,0,0,150,17.4,71,8.2,"553",64.2,67.6,93
"94","32K116","Elementary",-73.916563,40.698077,"P.S. 116 Elizabeth L Farrell",340,163,47.9,177,52.1,5,1.5,11,3.2,318,93.5,1,0.3,2,0.6,3,0.9,0,0,73,21.5,125,36.8,"306",90,92.8,94
"95","15K118","Elementary",-73.987602,40.671145,"The Maurice Sendak Community School",340,163,47.9,177,52.1,35,10.3,28,8.2,46,13.5,32,9.4,0,0,199,58.5,0,0,55,16.2,3,0.9,"51",15,16.2,95
"96","22K119","Elementary",-73.938733,40.626038,"P.S. 119 Amersfort",434,216,49.8,218,50.2,93,21.4,242,55.8,65,15,9,2.1,4,0.9,21,4.8,0,0,67,15.4,38,8.8,"339",78.1,72.9,96
"97","14K120","Elementary",-73.937888,40.700819,"P.S. 120 Carlos Tapia",368,186,50.5,182,49.5,4,1.1,74,20.1,263,71.5,4,1.1,1,0.3,22,6,0,0,79,21.5,67,18.2,"327",88.9,91.5,97
"98","21K121","K-8",-73.978472,40.622671,"P.S. 121 Nelson A. Rockefeller",333,150,45,183,55,66,19.8,15,4.5,140,42,2,0.6,2,0.6,108,32.4,0,0,94,28.2,72,21.6,"269",80.8,78.5,98
"99","17K122","High school",-73.939282,40.675905,"Pathways in Technology Early College High School (",574,163,28.4,411,71.6,8,1.4,472,82.2,68,11.8,0,0,10,1.7,8,1.4,8,1.4,92,16,11,1.9,"414",72.1,70.7,99
"100","32K123","Elementary",-73.922388,40.704076,"P.S. 123 Suydam",598,290,48.5,308,51.5,31,5.2,11,1.8,536,89.6,2,0.3,5,0.8,13,2.2,0,0,98,16.4,194,32.4,"523",87.5,85.1,100
"101","15K124","Elementary",-73.99062,40.667464,"P.S. 124 Silas B. Dutcher",282,149,52.8,133,47.2,37,13.1,13,4.6,159,56.4,17,6,0,0,56,19.9,0,0,60,21.3,25,8.9,"182",64.5,69.1,101
"102","84K125","Elementary",-73.943279,40.697619,"Success Academy Charter School - Bed-Stuy 2",314,152,48.4,162,51.6,8,2.5,194,61.8,87,27.7,7,2.2,12,3.8,6,1.9,0,0,58,18.5,5,1.6,"209",66.6,77.8,102
"103","14K126","Junior High-Intermediate-Middle",-73.947932,40.719818,"John Ericsson Middle School 126",328,138,42.1,190,57.9,4,1.2,75,22.9,230,70.1,0,0,0,0,19,5.8,0,0,97,29.6,29,8.8,"283",86.3,88.4,103
"104","20K127","Elementary",-74.018429,40.623687,"P.S. 127 Mckinley Park",517,250,48.4,267,51.6,204,39.5,2,0.4,121,23.4,6,1.2,1,0.2,183,35.4,0,0,118,22.8,114,22.1,"389",75.2,66.3,104
"105","21K128","Elementary",-73.995084,40.60498,"P.S. 128 Bensonhurst",456,206,45.2,250,54.8,121,26.5,3,0.7,105,23,2,0.4,5,1.1,220,48.2,0,0,80,17.5,197,43.2,"387",84.9,79,105
"106","84K129","K-8",-73.993293,40.685006,"Success Academy Charter School - Cobble Hill",421,217,51.5,204,48.5,50,11.9,125,29.7,122,29,22,5.2,2,0.5,100,23.8,0,0,52,12.4,20,4.8,"212",50.4,55.9,106
"107","15K130","Elementary",-73.976053,40.648924,"P.S. 130 The Parkside",876,428,48.9,448,51.1,143,16.3,40,4.6,185,21.1,28,3.2,11,1.3,469,53.5,0,0,191,21.8,61,7,"306",34.9,44,107
"108","15K131","Elementary",-73.993247,40.640728,"P.S. 131 Brooklyn",845,423,50.1,422,49.9,287,34,9,1.1,472,55.9,0,0,7,0.8,70,8.3,0,0,176,20.8,235,27.8,"738",87.3,91.5,108
"109","14K132","Elementary",-73.945663,40.714772,"P.S. 132 The Conselyea School",713,367,51.5,346,48.5,51,7.2,93,13,210,29.5,19,2.7,6,0.8,334,46.8,0,0,89,12.5,32,4.5,"278",39,49,109
"110","13K133","Elementary",-73.980455,40.679916,"P.S. 133 William A. Butler",726,364,50.1,362,49.9,28,3.9,184,25.3,245,33.7,57,7.9,1,0.1,211,29.1,0,0,121,16.7,43,5.9,"261",36,44.1,110
"111","22K134","Elementary",-73.97318,40.632145,"P.S. K134",608,298,49,310,51,280,46.1,19,3.1,47,7.7,3,0.5,8,1.3,251,41.3,0,0,85,14,74,12.2,"518",85.2,82.7,111
"112","18K135","Elementary",-73.932949,40.653093,"P.S. 135 Sheldon A. Brookner",465,205,44.1,260,55.9,8,1.7,376,80.9,33,7.1,4,0.9,2,0.4,42,9,0,0,76,16.3,39,8.4,"406",87.3,82.7,112
"113","15K136","Junior High-Intermediate-Middle",-74.007596,40.652127,"I.S. 136 Charles O. Dewey",509,264,51.9,245,48.1,51,10,23,4.5,400,78.6,2,0.4,2,0.4,31,6.1,0,0,125,24.6,182,35.8,"481",94.5,89.4,113
"114","23K137","Elementary",-73.916641,40.682248,"P.S./I.S. 137 Rachel Jean Mitchell",194,87,44.8,107,55.2,0,0,147,75.8,33,17,1,0.5,3,1.5,10,5.2,0,0,61,31.4,8,4.1,"172",88.7,88,114
"115","17K138","K-8",-73.951559,40.673943,"P.S. 138 Brooklyn",525,263,50.1,262,49.9,10,1.9,429,81.7,53,10.1,4,0.8,4,0.8,25,4.8,0,0,109,20.8,26,5,"476",90.7,81.2,115
"116","17K138","K-8",-73.951559,40.673943,"P.S. 138 Brooklyn",525,263,50.1,262,49.9,10,1.9,429,81.7,53,10.1,4,0.8,4,0.8,25,4.8,0,0,109,20.8,26,5,"476",90.7,81.2,116
"117","22K139","Elementary",-73.965862,40.64134,"P.S. 139 Alexine A. Fenty",896,432,48.2,464,51.8,162,18.1,199,22.2,382,42.6,34,3.8,7,0.8,112,12.5,0,0,149,16.6,124,13.8,"683",76.2,73.5,117
